l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
218.0,95515940.0,96325.0,322.0,3.3823000000000003,3.4504,0.3054380640570108,0.24149073233411428
219.0,3428013.0,57791.0,125.0,4.4265,4.5627,0.3094477503660714,0.24731464343911003
220.0,42815023.0,97591.0,221.0,4.54,4.676200000000001,0.3499379944377721,0.23662560698480192
221.0,87078586.0,3667.0,263.0,4.54,4.9259,0.3683290389080296,0.24518231759107456
222.0,43113341.0,38178.0,256.0,4.4038,4.6081,0.3457153248416849,0.24694958037049614
223.0,27098807.0,42338.0,465.0,5.311800000000001,5.357200000000001,0.2682207601918261,0.24598052906348306
224.0,52647329.0,65464.0,399.0,4.4265,4.5173000000000005,0.32437833567476265,0.24105397322385233
225.0,92754110.0,57264.0,67.0,3.1326,3.2915,0.34954077020843294,0.2456913410525013
226.0,88935857.0,11867.0,434.0,4.630800000000001,4.7216000000000005,0.33620595107291806,0.2459320344466263
227.0,87302534.0,16062.0,320.0,2.4289,2.5197000000000003,0.3361190993866449,0.2414141485288035
228.0,54813176.0,32118.0,482.0,3.4504,3.5639000000000003,0.3392747189834398,0.23781336596780192
229.0,96466563.0,16361.0,180.0,4.2903,4.4265,0.3677343512482556,0.24930276885319366
230.0,12738164.0,33172.0,222.0,5.2437000000000005,5.5388,0.3847770597793772,0.24738107495183195
231.0,76423389.0,89089.0,38.0,5.1756,5.2664,0.32153211845978147,0.23971442804348952
232.0,61500633.0,35728.0,315.0,5.448,5.5615000000000006,0.3491489385035462,0.24316404846946937
233.0,88443997.0,72008.0,102.0,4.630800000000001,4.8124,0.3237927980370885,0.2474873871017346
234.0,4124340.0,55553.0,231.0,5.5388,5.7431,0.353462535578409,0.24938313115917782
235.0,13309654.0,85036.0,52.0,5.2891,5.357200000000001,0.30468988163863053,0.24539836664643025
236.0,24447494.0,73422.0,418.0,3.8817000000000004,4.0406,0.37282090209165075,0.23853156658500863
237.0,70507531.0,16377.0,381.0,6.4241,6.583,0.34870968145368153,0.24431096121875093
238.0,80831427.0,44930.0,368.0,4.0179,4.1768,0.33427774545539374,0.24967422554864913
239.0,14161288.0,22657.0,353.0,4.2449,4.6989,0.3747150608560943,0.24987927439182306
240.0,18646187.0,16294.0,318.0,4.0179,4.4492,0.3301256660767677,0.24409104434451348
241.0,56929564.0,94115.0,391.0,3.9498,4.2222,0.35915428520770254,0.24446370011860016
242.0,11521453.0,39561.0,233.0,3.5185000000000004,3.6093,0.3185846280353979,0.2324319865850534
243.0,54372387.0,66735.0,472.0,5.152900000000001,5.2891,0.327376424089695,0.2482513609792646
244.0,30311481.0,93397.0,444.0,3.5639000000000003,3.632,0.30300651184044947,0.2308834211583206
245.0,64581240.0,25997.0,256.0,5.0167,5.198300000000001,0.353583372511524,0.24409675245298362
246.0,89559001.0,45589.0,347.0,4.3811,4.5173000000000005,0.2872439422550289,0.24850494175194657
247.0,83273055.0,41197.0,233.0,3.8817000000000004,3.9952,0.3260649544455678,0.2478492338278957
248.0,29201288.0,37191.0,369.0,4.54,4.6535,0.3310003568358754,0.24947020721160698
249.0,20772494.0,99593.0,47.0,5.5615000000000006,5.5842,0.25810733192416174,0.2423168554281182
250.0,1878553.0,61285.0,205.0,4.4492,4.5854,0.4170000346572737,0.23525779909873382
251.0,30117307.0,48406.0,242.0,4.9713,5.1075,0.33287073716563004,0.2475059852714798
252.0,58282851.0,89687.0,184.0,5.5388,5.6523,0.30117790936327676,0.24761903416738149
253.0,52516955.0,69295.0,7.0,5.0848,5.2891,0.33291921038156597,0.24740534040953907
254.0,46827009.0,30917.0,229.0,4.2676,4.2903,0.2751901056454624,0.24522033919422997
255.0,28577484.0,42810.0,231.0,4.086,4.2449,0.3552906690749231,0.2449343723473428
256.0,2516740.0,96683.0,310.0,2.7921,2.8602000000000003,0.32212877142655594,0.2483886403200358
257.0,25254400.0,13388.0,84.0,6.605700000000001,6.6965,0.3007516493941663,0.23763062024195744
258.0,19716629.0,99403.0,172.0,5.448,5.5388,0.3158090590210539,0.24994290209074604
259.0,52927158.0,16876.0,155.0,4.630800000000001,4.835100000000001,0.41522371545857634,0.24235416964561077
260.0,44581770.0,41730.0,498.0,4.5173000000000005,4.630800000000001,0.367162275938822,0.23527499849979314
